gender;f;a0;a1;a2;p0;p1;q0;q1;agebound;l0;l1;m0;m1;s0;s1
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;4;-0.000000000000000305;-0.000000000000000305;0.0908554;0.067300912;0.071270444;0.087255232
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;4.25;-0.000000000000000305;-0.000000000000000305;0.067300912;0.045093151;0.087255232;0.102326091
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;4.5;-0.000000000000000305;-0.000000000000000305;0.045093151;0.024086411;0.102326091;0.116581901
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;4.75;-0.000000000000000305;-0.000000000000000305;0.024086411;0.004157807;0.116581901;0.130101933
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;5;-0.000000000000000305;-0.000000000000000305;0.004157807;-0.014745764;0.130101933;0.142507707
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;5.25;-0.000000000000000305;-0.000000000000000305;-0.014745764;-0.032604745;0.142507707;0.153283122
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;5.5;-0.000000000000000305;-0.000000000000000305;-0.032604745;-0.049374252;0.153283122;0.162157287
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;5.75;-0.000000000000000305;-0.000000000000000305;-0.049374252;-0.064638392;0.162157287;0.168869712
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;6;-0.000000000000000305;-0.000000000000000305;-0.064638392;-0.077904237;0.168869712;0.17320804
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;6.25;-0.000000000000000305;-0.000000000000000305;-0.077904237;-0.088803022;0.17320804;0.175031485
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;6.5;-0.000000000000000305;-0.000000000000000305;-0.088803022;-0.097268729;0.175031485;0.174357186
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;6.75;-0.000000000000000305;-0.000000000000000305;-0.097268729;-0.10366659;0.174357186;0.171425053
1;FEF2575;-7.3353;1.5977;0.1511;-2.1431;0.3183;0.01683;0.07775;7;-0.000000000000000305;-0.000000000000000305;-0.10366659;-0.108354942;0.171425053;0.166471586
